48	深圳登岛网络科技有限公司	移动互联网,社交网络	天使轮	[]	15-50人	番禺区	开发/测试/运维类	本科	互联网,网络游戏,YY,直播	15k-30k	3-5年
49	广州活汇信息科技有限公司	移动互联网	天使轮	['""']	少于15人	天河区	开发/测试/运维类	大专	双休	8K-10K	3-5年
50	广州米美科技有限公司	数据服务,企业服务	未融资	['岗位晋升', '扁平管理', '专项奖金', '带薪年假']	15-50人	天河区	开发/测试/运维类	本科	福利制度全,发展空间大,逗比同事,BOSS好	10k-12k	1-3年
51	广州百倍网络科技有限公司	移动互联网,电子商务	不需要融资	['周末双休', '五险一金', '加班费', '岗位晋升']	150-500人	海珠区	开发/测试/运维类	本科	周末双休,五险一金,项目奖金,高并发平台	7k-10k	1-3年
52	信必优(深圳)信息技术有限公司	移动互联网,电子商务	未融资	['节日礼物', '年底双薪', '带薪年假', '年度旅游']	2000人以上	天河区	开发/测试/运维类	本科	五险一金,补充医疗保,年终奖金,周末双休	15k-22k	3-5年
53	广州惠侨计算机科技有限公司	移动互联网	上市公司	['技能培训', '节日礼物', '绩效奖金', '岗位晋升']	150-500人	越秀区	开发/测试/运维类	大专	周末双休 五险一金 节假日福利	14k-20k	5-10年
54	广东优计划科技有限公司	移动互联网,企业服务	未融资	['定期体检', '领导好', '五险一金', '绩效奖金']	50-150人	天河区	开发/测试/运维类	本科	距离地铁近,每周下午茶,带薪年假,大牛多	13K-18K	3-5年
55	美的集团股份有限公司	硬件	上市公司	['五险一金', '带薪年假', '免费班车', '年度旅游']	2000人以上	番禺区	开发/测试/运维类	本科	六险一金,餐补,节日福利,免费体检	15k-25k	5-10年
56	广东亿迅科技有限公司	移动互联网	不需要融资	['技能培训', '节日礼物', '年底双薪', '带薪年假']	2000人以上	越秀区	开发/测试/运维类	本科	千万级用户,大数据平台	7k-10k	1-3年
57	广州瑞云网络科技有限公司	移动互联网,电子商务	不需要融资	['年终分红', '绩效奖金', '带薪年假', '年度旅游']	15-50人	天河区	技术	本科	公司产品发展前景好，能力好，涨薪快！	7k-14k	1-3年
58	广州大象健康科技有限公司	移动互联网	A轮	['带薪年假', '绩效奖金', '岗位晋升', '美女多']	500-2000人	天河区	技术	大专	待遇好，晋升空间大，领导好，美女多	10k-20k	3-5年
59	品骏控股有限公司	移动互联网,电子商务	上市公司	['年底双薪', '带薪年假', '年度旅游', '定期体检']	2000人以上	海珠区	开发/测试/运维类	本科	团队给力,氛围自由,进步空间大,福利多	15k-30k	5-10年
