公司名称	公司类型	融资阶段	标签	公司规模	公司所在地	职位类型	学历要求	福利	薪资	工作经验
40	深圳数位传媒科技有限公司	移动互联网,数据服务	B轮	['2个月年终奖', '团队靠谱', '期权股票', '带薪病假']	50-150人	南山区	开发/测试/运维类	本科	14薪起,领导nic,股票期权,绩效奖金	12k-20k	3-5年
41	平安万家医疗投资管理有限责任公司	医疗健康	未融资	[]	500-2000人	南山区	技术	本科	平安专业子公司，互联网+医疗方向，前景好	10k-20k	3-5年
42	万科物业发展有限公司	O2O,生活服务	不需要融资	['社区o2o', '原始股权', '弹性工作制', '互联网+']	2000人以上	福田区	技术	本科	弹性工作、通讯补贴、自有食堂、年终激励	20k-30k	5-10年
43	深圳前海第一网络科技有限公司	金融,移动互联网	未融资	[]	50-150人	龙华新区	开发/测试/运维类	大专	双休,五险一金,年度旅游,奖金	8k-15k	3-5年
44	比一比网络科技有限公司	电子商务,数据服务	A轮	['技能培训', '股票期权', '带薪年假', '岗位晋升']	50-150人	南山区	开发/测试/运维类	本科	大数据,技术讲座多,工作氛围好	12k-16k	3-5年
45	深圳赛飞软件有限公司	数据服务	不需要融资	['年终分红', '绩效奖金', '股票期权', '专项奖金']	50-150人	南山区	开发/测试/运维类	本科	五险一金,年终奖,旅游	8k-12k	1-3年
46	深圳市紫川软件有限公司	电子商务,金融	不需要融资	['节日礼物', '年底双薪', '绩效奖金', '岗位晋升']	500-2000人	福田区	技术	大专	五险一金 员工旅游 周末双休	9k-15k	3-5年
47	深圳市金蝶天燕中间件股份有限公司	移动互联网,企业服务	C轮	['岗位晋升', '管理规范', '五险一金', '带薪年假']	2000人以上	南山区	开发/测试/运维类	本科	五险一金,带薪年假,节日福利,免费体检	10k-15k	3-5年
48	深圳前海联动云汽车租赁有限公司	O2O,生活服务	不需要融资	['O2O', '带薪年假', '交通补助', '午餐补助']	2000人以上	罗湖区	开发/测试/运维类	本科	技术大牛,发展空间,多个项目,超好福利	13k-25k	3-5年
49	深圳布谷鸟信息科技有限公司	电子商务,移动互联网	不需要融资	['高颜值公司', '发展潜力大', '美女多', '岗位晋升']	500-2000人	南山区	开发/测试/运维类	本科	发展空间大	15k-20k	3-5年
50	万科物业发展有限公司	O2O,生活服务	不需要融资	['社区o2o', '原始股权', '弹性工作制', '互联网+']	2000人以上	福田区	开发/测试/运维类	本科	平台好,空间大	15k-25k	5-10年
51	深圳来电科技有限公司	移动互联网,O2O	A轮	['五险一金', '岗位晋升', '扁平管理', '带薪年假']	150-500人	南山区	开发/测试/运维类	本科	周末双休,弹性工作,全员期权,大牛团队	10k-15k	3-5年
52	深圳市博奥特科技有限公司	移动互联网,金融	未融资	['绩效奖金', '领导好', '帅哥多', '美女多']	150-500人	福田区	开发/测试/运维类	本科	汽车金融	15K-25K	3-5年
53	深圳票联金融服务有限公司	金融	不需要融资	['""']	50-150人	福田区	开发/测试/运维类	本科	java	8k-15k	3-5年
54	深圳市有为教育技术有限公司	教育,移动互联网	未融资	['年底双薪', '带薪年假', '绩效奖金', '节日礼物']	50-150人	南山区	开发/测试/运维类	本科	周末双休,年底双薪,五险一金,免费班车	8k-15k	3-5年
55	深圳市云网软件研发有限公司	移动互联网,游戏	未融资	['专项奖金', '带薪年假', '绩效奖金', '节日礼物']	50-150人	宝安区	开发/测试/运维类	大专	区块链,互联网金融	15k-25k	3-5年
56	深圳市华宇讯科技有限公司	移动互联网,电子商务	B轮	['技能培训', '股票期权', '五险一金', '弹性工作']	500-2000人	南山区	开发/测试/运维类	本科	福利待遇、发展前景	10k-20k	3-5年
57	深圳贝多多科技有限公司	移动互联网,金融	A轮	['年底双薪', '股票期权', '带薪年假', '岗位晋升']	15-50人	南山区	开发/测试/运维类	本科	五险一金,年终,期权股票	10k-15k	1-3年
58	深圳市万通顺达科技股份有限公司	生活服务,硬件	上市公司	['年底双薪', '定期体检', '带薪年假', '绩效奖金']	150-500人	福田区	开发/测试/运维类	本科	环境佳,待遇好	13k-25k	3-5年
59	深圳市迈迪加科技发展有限公司	移动互联网,医疗健康	B轮	['年底双薪', '节日礼物', '带薪年假', '全球视野']	50-150人	南山区	开发/测试/运维类	本科	弹性工作,扁平化管理	10k-20k	3-5年
60	矩阵元技术（深圳）有限公司	信息安全,金融	A轮	['技能培训', '节日礼物', '岗位晋升', '扁平管理']	50-150人	南山区	开发/测试/运维类	本科	五险一金,技能培训,带薪年假,节日福利	15k-25k	3-5年
61	爱问医联科技（深圳）有限公司	医疗健康,移动互联网	A轮	['股票期权', '带薪年假', '午餐补助', '专项奖金']	50-150人	南山区	开发/测试/运维类	本科	JAVA	15k-25k	5-10年
62	深圳市博悦科创科技有限公司	移动互联网	不需要融资	['年底双薪', '定期体检', '绩效奖金', '技能培训']	500-2000人	福田区	开发/测试/运维类	大专	福利待遇好，发展空间大	10k-18k	3-5年
63	深圳光汇石油集团股份有限公司	其他	上市公司	['股票期权', '带薪年假', '五险一金', '午餐补助']	500-2000人	福田区	开发/测试/运维类	本科	待遇好,上市公司,包吃,周末双休	10k-15k	3-5年
64	武汉佰钧成技术有限责任公司	移动互联网	不需要融资	['带薪年假', '计算机软件', '管理规范', '定期体检']	2000人以上	龙华区	开发/测试/运维类	大专	平台,激情,money,稳定	9k-15k	3-5年
65	弘量科技（深圳）有限公司	金融	A轮	['优秀同事', '股票期权', '年终分红', '带薪年假']	15-50人	南山区	开发/测试/运维类	本科	互联网金融,股票期权,弹性工作	15k-30k	3-5年
66	深圳市盛开互联网金融顾问有限公司	金融	未融资	['绩效奖金', '年度旅游', '五险一金']	15-50人	南山区	开发/测试/运维类	大专	五险一金,绩效奖金,年终奖金,周末双休	13k-25k	3-5年
67	深圳前海用友力合金融服务有限公司	金融	不需要融资	['节日礼物', '带薪年假', '绩效奖金', '岗位晋升']	500-2000人	南山区	开发/测试/运维类	本科	同事好,薪酬福利优,文化开放,学习型组织	20k-35k	5-10年
