公司名称	公司类型	融资阶段	标签	公司规模	公司所在地	职位类型	学历要求	福利	薪资	工作经验
1052	深圳云企信息技术有限公司	移动互联网,电子商务	B轮	['节日礼物', '年底双薪', '带薪年假', '绩效奖金']	150-500人	龙华新区	技术	大专	带薪年假 弹性工作 升职加薪 年度体检	18k-35k	5-10年
1053	深圳米钻网络科技有限公司	移动互联网	A轮	['年终分红', '股票期权', '年度旅游', '五险一金']	50-150人	福田区	开发/测试/运维类	大专	近地铁站,发展空间大	10k-15k	3-5年
1054	深圳维拉假日科技有限公司	O2O,旅游	A轮	['年底双薪', '绩效奖金', '定期体检', '午餐补助']	15-50人	南山区	开发/测试/运维类	大专	五险一金,年终奖,弹性工作,美女如云	10k-20k	5-10年
1055	深圳市盈满高电子有限公司	移动互联网,电子商务	不需要融资	['""']	50-150人	南山区	开发/测试/运维类	本科	技术大牛多,腾讯系背景,薪资福利好	20k-25k	3-5年
1056	深圳银盛金融集团有限公司	移动互联网,金融	不需要融资	['节日礼物', '带薪年假', '绩效奖金', '年度旅游']	500-2000人	龙华新区	开发/测试/运维类	本科	互联网金融	10k-20k	3-5年
1057	深圳乾鼎盛世实业有限公司	移动互联网,电子商务	不需要融资	['""']	50-150人	宝安区	开发/测试/运维类	大专	自主研发非,节日福利,氛围好,美女多	15k-25k	3-5年
1058	岩心科技（深圳）有限公司	移动互联网,金融	B轮	['美女如云', '股票期权', '高速发展', '扁平管理']	150-500人	南山区	技术	本科	空间,平台,成长	15k-30k	1-3年
1059	深圳市微讯时代网络技术有限公司	移动互联网,电子商务	未融资	['股票期权', '带薪年假', '岗位晋升', '美女多']	15-50人	福田区	开发/测试/运维类	大专	五险一金,13薪	10k-20k	3-5年
1060	顺丰科技有限公司	移动互联网,电子商务	不需要融资	['技能培训', '节日礼物', '带薪年假', '岗位晋升']	500-2000人	南山区	开发/测试/运维类	本科	弹性工作时间，人性化工作氛围	15K-30K	3-5年
1061	深圳市科盾科技有限公司	移动互联网,信息安全	不需要融资	['技能培训', '节日礼物', '年底双薪', '带薪年假']	50-150人	None	技术	本科	五险一金、周末双休、弹性工作、提供工作餐	15k-25k	3-5年
1062	深圳市汇星数字技术有限公司	硬件,文化娱乐	不需要融资	['节日礼物', '绩效奖金', '年度旅游', '领导好']	150-500人	None	技术	本科	5天工作制，良好的人文环境，发展迅速	10k-15k	1-3年
1063	深圳市誉托科技有限公司	移动互联网	未融资	[]	50-150人	龙华新区	开发/测试/运维类	本科	java,游戏,Java,linux	9k-15k	3-5年
1064	深圳市网约巴士有限公司	移动互联网,数据服务	不需要融资	[]	50-150人	南山区	开发/测试/运维类	本科	领导好,团队氛围好,发展空间大,年轻化团队	10k-16k	3-5年
1065	信必优(深圳)信息技术有限公司	移动互联网,电子商务	未融资	['节日礼物', '年底双薪', '带薪年假', '年度旅游']	2000人以上	南山区	开发/测试/运维类	大专	六险一金,年终奖,调薪,弹性工作制	10k-15k	不限
1066	深圳市闪拍精灵网络技术有限公司	移动互联网,电子商务	不需要融资	['""']	50-150人	南山区	开发/测试/运维类	本科	扁平管理,平台足够,工作氛围好,妹子多	15k-20k	3-5年
1067	满金坝(深圳)科技有限公司	移动互联网,电子商务	不需要融资	[]	150-500人	福田区	开发/测试/运维类	大专	年终分红,年度加薪,福利待遇好,发展空间	25k-35k	5-10年
1068	深圳民航凯亚有限公司	移动互联网,信息安全	不需要融资	['年底双薪', '带薪年假', '绩效奖金', '年度旅游']	150-500人	南山区	开发/测试/运维类	大专	充实新知识,发展多选择	6k-12k	1-3年
1069	深圳市三山科技股份有限公司	移动互联网	不需要融资	['""']	少于15人	福田区	开发/测试/运维类	大专	周末双休、五险一金	15K-20K	3-5年
1070	深圳奥哲网络科技有限公司	移动互联网	不需要融资	['五险一金', '带薪年假', '年底双薪', '绩效奖金']	50-150人	南山区	开发/测试/运维类	本科	平台好,发展空间大,待遇好,技术空间大	15k-30k	3-5年
1071	北京易诚互动网络技术有限公司	其他,金融	不需要融资	['绩效奖金', '带薪年假', '通讯津贴', '午餐补助']	500-2000人	福田区	开发/测试/运维类	本科	六险一金,补贴,绩效,奖金	9k-18k	3-5年
1072	深圳市朗云科技有限公司	移动互联网,电子商务	不需要融资	['年底双薪', '绩效奖金', '带薪年假', '交通补助']	50-150人	南山区	开发/测试/运维类	本科	双休 五险一金 年终奖金 员工活动	18k-30k	5-10年
1073	深圳市清华天安信息技术有限公司	移动互联网	不需要融资	['年底双薪', '带薪年假', '绩效奖金', '年度旅游']	50-150人	福田区	开发/测试/运维类	本科	全新发展	10k-20k	3-5年
1074	深圳对对科技有限公司	移动互联网,社交网络	B轮	['绩效奖金', '五险一金', '弹性工作', '领导耐撕']	50-150人	南山区	开发/测试/运维类	本科	旅游,股票期权,豪华生日会,下午茶	10k-20k	1-3年
1075	前海商联商务网络服务（深圳）有限公司	移动互联网,其他	D轮及以上	[]	15-50人	宝安区	开发/测试/运维类	本科	弹性工作,加班补助,周末双休,年底分红	10k-15k	1-3年
1076	深圳市嘉盈资讯有限公司	移动互联网,电子商务	未融资	['技能培训', '节日礼物', '年底双薪', '带薪年假']	50-150人	罗湖区	开发/测试/运维类	本科	年薪双薪,带薪年假,节日福利,年度调薪	15k-25k	5-10年
1077	信必优(深圳)信息技术有限公司	移动互联网,电子商务	未融资	['节日礼物', '年底双薪', '带薪年假', '年度旅游']	2000人以上	南山区	开发/测试/运维类	本科	英语好,弹性上班	10k-14k	3-5年
1078	前海初道科技（深圳）有限公司	移动互联网,数据服务	不需要融资	[]	15-50人	南山区	开发/测试/运维类	大专	周末双休,弹性工作,团队氛围好,福利较全	20k-25k	5-10年
1079	云易恒基科技（深圳）有限公司	移动互联网	不需要融资	['专项奖金', '年底双薪', '带薪年假', '弹性工作']	150-500人	南山区	开发/测试/运维类	大专	Java,多线程,IO	16k-21k	3-5年
1080	深圳市沃星实业有限公司	硬件	未融资	[]	15-50人	福田区	开发/测试/运维类	本科	年度旅游,带薪年假,专项奖金,行业大牛	15k-25k	3-5年
1081	北京美云集网络科技有限责任公司	移动互联网,电子商务	A轮	['技能培训', '股票期权', '岗位晋升', '扁平管理']	15-50人	龙岗区	开发/测试/运维类	大专	五险一金,餐饮补贴,弹性工作,员工活动	8k-12k	3-5年
1082	深圳市云智数据服务有限公司	O2O	A轮	['股票期权', '绩效奖金', '岗位晋升', '扁平管理']	15-50人	南山区	技术	本科	前海孵化互联网项目，股权，期权，成长机会	12k-20k	5-10年
1083	深圳市时代华盛网络科技有限公司	金融,移动互联网	不需要融资	['带薪年假', '股票期权', '定期体检', '扁平管理']	50-150人	南山区	开发/测试/运维类	本科	薪酬福利佳,项目前景好	16k-30k	5-10年
1084	深圳蓝贝科技有限公司	移动互联网,金融	B轮	['股票期权', '绩效奖金', '岗位晋升', '年度旅游']	150-500人	南山区	开发/测试/运维类	本科	核心技术岗+真大牛团队+千万用户产品	10k-20k	1-3年
1085	华迎控股有限公司深圳分公司	移动互联网,金融	不需要融资	['""']	15-50人	南山区	开发/测试/运维类	大专	区块链	10k-20k	3-5年
1086	深圳大鹊科技有限公司	移动互联网、硬件	A轮	['人工智能硬件', '深度学习', '专项奖金', '股票期权']	15-50人	南山区	开发/测试/运维类	本科	人工智能,大数据,互联网,智能硬件	10k-20k	3-5年
1087	深圳市蓝讯网络科技有限公司	游戏 移动互联网	未融资	['""']	15-50人	南山区	开发/测试/运维类	大专	创业公司,五险一金,双休	13k-25k	不限
1088	瑞祥互联网金融服务（深圳）有限公司	移动互联网 金融	未融资	['""']	50-150人	罗湖区	开发/测试/运维类	大专	公司实力强,发展空间大	8k-16k	3-5年
1089	深圳众禄基金销售股份有限公司	移动互联网,金融	上市公司	['股票期权', '绩效奖金', '带薪年假', '通讯津贴']	150-500人	罗湖区	开发/测试/运维类	本科	五险一金,周末双休,股权激励,福利齐全	20k-35k	3-5年
1090	深圳华海乐盈网络科技集团有限公司	移动互联网	不需要融资	['节日礼物', '专项奖金', '带薪年假', '岗位晋升']	500-2000人	南山区	开发/测试/运维类	本科	分红,弹性上班,老板好	15K-30K	5-10年
1091	金蝶软件（中国）有限公司	移动互联网,电子商务	上市公司	['年底双薪', '节日礼物', '技能培训', '岗位晋升']	2000人以上	南山区	开发/测试/运维类	本科	福利待遇优厚大，大平台，发展前景好。	10k以上	不限
1092	美的集团财务有限公司	金融	不需要融资	['年底双薪', '带薪年假', '午餐补助', '世界500强']	150-500人	南山区	开发/测试/运维类	本科	薪酬竞争力,发展潜力大,牛人多,创意团队	20k-40k	3-5年
1093	深圳进化动力数码科技有限公司	移动互联网	B轮	['绩效奖金', '岗位晋升', '领导好', '美女多']	50-150人	宝安区	开发/测试/运维类	本科	弹性工作,学习成长快,福利待遇优,包吃	4k-5k	不限
1094	深圳市易世通达贸易有限公司	电子商务	不需要融资	[]	500-2000人	南山区	开发/测试/运维类	本科	双休,员工食堂,年度旅游	15k-23k	5-10年
1095	上海易立德企业管理咨询有限公司	企业服务,数据服务	不需要融资	['年底双薪', '技能培训', '节日礼物', '股票期权']	500-2000人	龙岗区	开发/测试/运维类	大专	团队氛围好,晋升机会多,成长速度快,项目优质稳	10k-18k	3-5年
1096	上海易立德企业管理咨询有限公司	企业服务,数据服务	不需要融资	['年底双薪', '技能培训', '节日礼物', '股票期权']	500-2000人	龙岗区	开发/测试/运维类	大专	团队氛围好,晋升机会多,成长速度快,项目优质稳	10k-18k	3-5年
1097	深圳农金圈金融服务有限公司	金融	A轮	['年度旅游', '股票期权', '定期体检', '调入深户']	150-500人	南山区	开发/测试/运维类	本科	薪酬高,福利好,领导好,文娱活动多	15k-25k	3-5年
1098	上海畅圣计算机有限公司	金融	B轮	['领导好', '扁平管理', '绩效奖金', '带薪年假']	50-150人	南山区	开发/测试/运维类	本科	大牛多,成长快,待遇好	10k-17k	3-5年
1099	华阳国际工程设计股份有限公司	其他	上市公司	['专项奖金', '绩效奖金', '带薪年假', '午餐补助']	2000人以上	福田区	开发/测试/运维类	大专	年终奖,晋升空间,公司活动	10k-18k	3-5年
1100	深圳市启微时代网络有限公司	移动互联网,O2O	天使轮	[]	50-150人	龙岗区	开发/测试/运维类	本科	五险一金,节日福利,员工旅游,周末双休	15k-20k	1-3年
1101	深圳市轻码云科技有限公司	移动互联网	天使轮	['年底双薪', '美女多', '节日礼物', '绩效奖金']	15-50人	南山区	开发/测试/运维类	本科	五险一金,员工旅游,绩效奖金,专业培训	10k-20k	3-5年
1102	北京通力互联技术服务有限公司	电子商务,企业服务	不需要融资	['绩效奖金', '交通补助', '定期体检', '通讯津贴']	2000人以上	南山区	开发/测试/运维类	本科	双休,技术开发,成长发展快	8k-15k	1-3年
1103	联盟凯睿企业管理有限公司	移动互联网,金融	B轮	[]	150-500人	南山区	开发/测试/运维类	本科	五险一金 弹性工作 扁平化管理	15K-30K	3-5年
1104	上海奥飞游戏有限公司	游戏	A轮	[]	150-500人	南山区	开发/测试/运维类	大专	年终奖,项目奖金,福利多,大型IP	18k-36k	3-5年
1105	深圳智慧园区信息技术有限公司	移动互联网,O2O	不需要融资	['年底双薪', '绩效奖金', '带薪年假', '定期体检']	50-150人	龙岗区	开发/测试/运维类	本科	平台好,成长空间大	10k-20k	3-5年
1106	鸿富锦精密工业(深圳)有限公司	硬件,移动互联网	不需要融资	['年底双薪', '带薪年假', '定期体检', '五险一金']	2000人以上	南山区	开发/测试/运维类	本科	团队灵活,工作环境好,发展空间大	16k-32k	5-10年
1107	深圳市泰捷软件技术有限公司	文化娱乐,硬件	不需要融资	['年底双薪', '股票期权', '带薪年假', '技术大咖多']	50-150人	南山区	开发/测试/运维类	本科	腾讯旗下 弹性工作 节日福利 年终奖金	10k-15k	1-3年
1108	深圳市智邻科技有限公司	移动互联网,教育	天使轮	[]	50-150人	龙华新区	开发/测试/运维类	本科	年轻,有前景,期权,五险一金	12k-22k	3-5年
1109	深圳市元征科技股份有限公司	移动互联网	上市公司	[]	2000人以上	南山区	开发/测试/运维类	本科	年终奖,项目奖金,五险一金,餐补和其他	10k-20k	不限
1110	深圳喆云信息技术有限公司	移动互联网,企业服务	天使轮	['股票期权', '专项奖金', '年底双薪', '绩效奖金']	15-50人	南山区	开发/测试/运维类	本科	绩效奖金,高期权激励,晋升空间大	16k-32k	5-10年
1111	深圳市英思奇信息咨询有限公司	移动互联网,电子商务	未融资	['年底双薪', '股票期权', '包吃\\包住']	50-150人	宝安区	开发/测试/运维类	大专	JAVA,J2EE,eclip,后端	25k-40k	5-10年
1112	深圳TCL新技术有限公司	移动互联网,其他	上市公司	['年底双薪', '带薪年假', '定期体检', '绩效奖金']	2000人以上	南山区	开发/测试/运维类	本科	平台好,大牛多,福利赞	20k-40k	5-10年
1113	美的集团股份有限公司	硬件	上市公司	['五险一金', '带薪年假', '免费班车', '年度旅游']	2000人以上	南山区	开发/测试/运维类	本科	六险一金,免费体检,餐补,房补	15k-25k	5-10年
1114	深圳市银河贝思特科技有限公司	企业服务	不需要融资	['股票期权', '带薪年假', '绩效奖金', '岗位晋升']	15-50人	南山区	开发/测试/运维类	大专	周末双休,年终奖金,免费体检,年度旅游	7k-14k	3-5年
1115	北京有爱互娱科技有限公司	游戏	B轮	['年底双薪', '带薪年假', '节日礼物', '弹性工作']	150-500人	南山区	开发/测试/运维类	大专	大牛多,牛逼IP,扁平化管理,福利好	15k-28k	3-5年
1116	深圳市随手科技有限公司	移动互联网,金融	C轮	['带薪年假', '弹性工作时间', '年度旅游', '岗位晋升']	500-2000人	南山区	开发/测试/运维类	本科	海量数据,高并发,薪酬福利佳,发展空间大	15k-30k	3-5年
1117	深圳市瑞福登信息技术服务有限公司	移动互联网,企业服务	A轮	['专项奖金', '绩效奖金', '弹性工作', '下午茶']	15-50人	福田区	开发/测试/运维类	本科	期权,弹性工作制,下午茶,年底双薪	20k-25k	3-5年
1118	深圳市小二软件技术有限公司	O2O、移动互联网	天使轮	[]	50-150人	南山区	开发/测试/运维类	大专	聚会,聚餐	8k-15k	3-5年
1119	深圳市悦保科技有限公司	移动互联网	不需要融资	['""']	50-150人	南山区	开发/测试/运维类	本科	收入高,福利好,发展快,前景好	15k-22k	3-5年
1120	富强天一咨询（深圳）有限公司	金融	不需要融资	['年底双薪', '带薪年假', '绩效奖金']	50-150人	罗湖区	开发/测试/运维类	本科	年底双薪,双休,节假日福利,五险一金	15k-20k	5-10年
1121	深圳市辛丑电子科技有限公司	移动互联网,其他	不需要融资	[]	500-2000人	福田区	开发/测试/运维类	不限	节假日福利,生日礼品,带薪年假,年终奖	13k-18k	3-5年
1122	深圳市思贝克工业发展有限公司	移动互联网	B轮	['技能培训', '节日礼物', '年底双薪', '带薪年假']	150-500人	南山区	开发/测试/运维类	大专	五险一金,股票期权,带薪年假	15k-20k	5-10年
1123	深圳兆亮照明有限公司	电子商务	天使轮	['年底双薪', '带薪年假', '定期体检', '弹性工作']	150-500人	宝安区	开发/测试/运维类	大专	弹性工作制,五险一金,周末双休,年终奖	15k-25k	5-10年
1124	信必优(深圳)信息技术有限公司	移动互联网,电子商务	未融资	['节日礼物', '年底双薪', '带薪年假', '年度旅游']	2000人以上	福田区	开发/测试/运维类	本科	央企,工作环境佳,福利待遇,加班少	25k-30k	5-10年
1125	深圳斯卡顿科技有限公司	移动互联网,企业服务	天使轮	['年底双薪', '绩效奖金', '定期体检', '带薪年假']	15-50人	南山区	开发/测试/运维类	硕士	周末双休,带薪年假,下午茶零食,团建活动	25k-40k	5-10年
1126	深圳斯卡顿科技有限公司	移动互联网,企业服务	天使轮	['年底双薪', '绩效奖金', '定期体检', '带薪年假']	15-50人	南山区	开发/测试/运维类	硕士	周末双休,带薪年假,下午茶零食,团建活动	25k-40k	5-10年
1127	深圳三代人科技有限公司	移动互联网,医疗健康	不需要融资	['股票期权', '一年14薪', '绩效奖金', '扁平管理']	150-500人	南山区	开发/测试/运维类	大专	大牛领导,成长空间大,福利好,团队优秀	8k-15k	1-3年
1128	深圳市鹏鼎创盈金融信息服务股份有限公司	金融	A轮	['节日礼物', '扁平管理', '领导好', '股权激励']	50-150人	福田区	开发/测试/运维类	本科	合伙人机制,五险一金,股权激励,共创共享	17k-30k	1-3年
1129	深圳市英可瑞科技股份有限公司	移动互联网,社交网络	上市公司	[]	500-2000人	龙岗区	开发/测试/运维类	大专	技术前沿,发展空间	15k-25k	5-10年
1130	深圳市千线科技有限公司	移动互联网	不需要融资	['年底双薪', '绩效奖金', '股票期权', '弹性工作']	15-50人	福田区	开发/测试/运维类	本科	五险一金,团队氛围佳	10k-20k	3-5年
1131	携程计算机技术（上海）有限公司	移动互联网,旅游	上市公司	['绩效奖金', '股票期权', '五险一金', '交通补助']	2000人以上	南山区	开发/测试/运维类	本科	互联网企业十强，大平台，高发展，福利好！	15k-25k	3-5年
1132	深圳知云网络科技有限公司	企业服务	未融资	['专项奖金', '带薪年假', '弹性工作', '扁平管理']	2000人以上	南山区	开发/测试/运维类	本科	技术大牛,高级人才	20k-30k	5-10年
1133	深圳市未来生活信息技术有限公司	移动互联网,电子商务	未融资	['""']	少于15人	南山区	开发/测试/运维类	本科	公司期权,创业氛围好,其他福利	10k-20k	1-3年
1134	广州云移信息科技有限公司	移动互联网,O2O	B轮	['股票期权', '岗位晋升', '扁平管理', '领导好']	500-2000人	福田区	开发/测试/运维类	大专	年度体检 定期培训 弹性工作	20k-35k	5-10年
1135	深圳市车飞贷信息科技有限公司	移动互联网,金融	未融资	['年底双薪', '年终分红', '绩效奖金', '带薪年假']	50-150人	南山区	开发/测试/运维类	本科	良好的平台,晋升空间大	15k-20k	3-5年
1136	深圳透云物联网科技有限公司	医疗健康、生活服务	不需要融资	[]	500-2000人	福田区	开发/测试/运维类	本科	绩效,年终奖,扁平管理,晋升机制	25k-30k	5-10年
1137	墨杰森科技（深圳）有限公司	移动互联网,电子商务	未融资	[]	50-150人	南山区	开发/测试/运维类	本科	五险一金,带薪年假,年终奖金,通讯津贴	25K-42K	3-5年
1138	深圳道乐科技有限公司	移动互联网,金融	未融资	['年终奖励', '成长空间', '扁平管理', '美女多']	50-150人	南山区	开发/测试/运维类	本科	五险一金,员工旅游,餐补,年终奖	7k-14k	1-3年
1139	深圳市文燊威投资有限公司	金融	不需要融资	[]	500-2000人	南山区	开发/测试/运维类	本科	双休,工作餐,年终奖,过节福利	15k-25k	5-10年
1140	深圳市顶尖传诚科技有限公司	移动互联网,数据服务	未融资	['年底双薪', '带薪年假', '专项奖金']	50-150人	南山区	开发/测试/运维类	本科	五险一金	15k-30k	3-5年
1141	深圳市启明星电子商务有限公司	电子商务	B轮	['带薪年假', '弹性工作', '年度旅游', '五险一金']	150-500人	南山区	开发/测试/运维类	本科	平台好，高成长团队，双休，福利好	18k-30k	5-10年
1142	深圳市赛为智能股份有限公司	数据服务,移动互联网	上市公司	[]	150-500人	南山区	开发/测试/运维类	本科	上市公司,平台好,领导好,双休	10k-15k	3-5年
1143	智道金融服务（深圳）有限公司	金融,数据服务	天使轮	['带薪年假', '周末双休', '五险一金', '年终分红']	50-150人	南山区	开发/测试/运维类	本科	周末双休,五险一金,带薪年假,节日福利	10k-20k	3-5年
1144	深圳市雁联技术服务有限公司	移动互联网,金融	不需要融资	[]	500-2000人	福田区	开发/测试/运维类	本科	数据库,培训提升,分布式	10k-18k	3-5年
1145	深圳市网信数码科技有限公司	移动互联网	A轮	['带薪年假', '通讯津贴', '五险一金', '弹性工作']	15-50人	南山区	开发/测试/运维类	大专	双休，年假，加班可以调休	15K-20K	5-10年
1146	深圳市捷顺科技实业股份有限公司	移动互联网,O2O	上市公司	['股票期权', '带薪年假', '绩效奖金', '管理规范']	500-2000人	福田区	开发/测试/运维类	本科	管理人性,行业领先,待遇好,股权	20k-30k	5-10年
1147	彩讯科技股份有限公司	移动互联网,生活服务	不需要融资	['节日礼物', '技能培训', '年度旅游', '岗位晋升']	500-2000人	南山区	开发/测试/运维类	本科	平台大,氛围好	10k-15k	1-3年
1148	深圳小微金融服务有限公司	金融	未融资	['技能培训', '节日礼物', '专项奖金', '带薪年假']	50-150人	福田区	开发/测试/运维类	本科	年底双薪,包三餐,年终奖,旅游	15k-25k	3-5年
1149	深圳一声笑科技有限公司	移动互联网,社交网络	天使轮	['""']	15-50人	龙华新区	开发/测试/运维类	不限	五险一金	10k-20k	5-10年
1150	深圳蓝贝科技有限公司	移动互联网,金融	B轮	['股票期权', '绩效奖金', '岗位晋升', '年度旅游']	150-500人	南山区	开发/测试/运维类	本科	真大牛团队+千万用户产品	10k-20k	1-3年
1151	宝能物流集团有限公司	其他	不需要融资	['""']	2000人以上	罗湖区	开发/测试/运维类	本科	年底双薪,免费早午餐,免费健身房,管理规范	15k-30k	5-10年
1152	平安证券股份有限公司	金融	上市公司	['技能培训', '年度旅游', '岗位晋升', '管理规范']	2000人以上	福田区	开发/测试/运维类	本科	国际化团队,激励丰富,氛围和谐	20k-40k	5-10年
1153	深圳市快鸽互联网科技有限公司	移动互联网	未融资	['节日礼物', '年底双薪', '带薪年假', '绩效奖金']	150-500人	南山区	开发/测试/运维类	本科	互联网金融	10k-20k	1-3年
1154	深圳市创想一登科技有限公司	移动互联网	A轮	['专项奖金', '技术大牛多', '发展潜力大', '鼓励学习']	15-50人	南山区	开发/测试/运维类	本科	福利好,工作氛围轻	18k-25k	5-10年
1155	深圳市云之星科技有限公司	移动互联网,电子商务	不需要融资	['节日礼物', '年底双薪', '股票期权', '专项奖金']	50-150人	None	技术	本科	前景良好，晋升空间大	15k-25k	3-5年
1156	梦网荣信科技集团股份有限公司	移动互联网	上市公司	['美女多', '领导好', '技能培训', '五险一金']	500-2000人	南山区	开发/测试/运维类	本科	平台大,福利好	15k-20k	3-5年
1157	深圳市乐易网络股份有限公司	移动互联网,游戏	A轮	['技术大牛', '高逼格环境', '两次年度旅游', '福利倍儿好']	150-500人	南山区	开发/测试/运维类	本科	海外手游,鹅厂大神,高配团队	10k-20k	1-3年
1158	深圳市永祥药房连锁有限公司	医疗健康,其他	未融资	['绩效奖金', '带薪年假', '领导好', '五险一金']	150-500人	龙岗区	开发/测试/运维类	本科	java,期权或股权,双渠道发展,朝气团队	12k-24k	5-10年
1159	广州指点教育科技有限公司	教育	B轮	['专项奖金', '带薪年假', '午餐补助', '定期体检']	150-500人	南山区	开发/测试/运维类	本科	技术提升,五险一金,教育科技,智能硬件	15k-25k	1-3年
1160	深圳前海大数据商业服务有限公司	O2O,移动互联网	未融资	['股票期权', '绩效奖金', '年底双薪']	15-50人	南山区	开发/测试/运维类	本科	五险一金,奖金,各类补贴	10K-15K	3-5年
1161	深圳市钱爸爸电子商务有限公司	金融	未融资	['技能培训', '免费班车', '带薪年假', '年度旅游']	500-2000人	南山区	开发/测试/运维类	本科	职位晋升	12k-20k	3-5年
1162	深圳市微位投资管理有限公司	移动互联网	B轮	['年底双薪', '带薪年假', '股票期权', '年度旅游']	50-150人	南山区	开发/测试/运维类	大专	发展空间大,福利待遇好,团队年轻化,氛围超级棒	12k-15k	3-5年
1163	深圳市壹宝誉品网络科技有限公司	移动互联网	B轮	[]	50-150人	南山区	开发/测试/运维类	本科	期权,扁平化管理,高额公积金,年底双薪	25k-40k	5-10年
1164	深圳奥统平技术有限公司	移动互联网,金融	不需要融资	['股票期权', '带薪年假', '公司包中晚餐', '公寓上班']	50-150人	南山区	开发/测试/运维类	本科	金融软件,团队实力强,发展空间大,提供工作餐	6k-10k	1年以下
1165	深圳市欧瑞博科技有限公司	移动互联网,硬件	B轮	['互联网硬件', '五天双休', '股票期权', '专项奖金']	150-500人	南山区	开发/测试/运维类	本科	人工智能大平台成就你的未来	20K-30K	5-10年
1166	深圳市中琛源科技发展有限公司	移动互联网,电子商务	A轮	['技能培训', '节日礼物', '绩效奖金', '岗位晋升']	50-150人	南山区	技术	大专	绩效奖金 年终奖金 股票期权	10k-20k	3-5年
1167	深圳市英威诺科技有限公司	移动互联网,数据服务	C轮	['五险一金', '带薪年假', '节日礼物', '岗位晋升']	150-500人	南山区	开发/测试/运维类	本科	前景好,氛围轻松,老板好,福利好	18k-28k	3-5年
1168	深圳市多易得信息技术股份有限公司	移动互联网,文化娱乐	上市公司	['年底双薪', '定期体检', '领导好', '美女多']	150-500人	宝安区	开发/测试/运维类	大专	上市公司,年终奖,季度奖,周末双休	12k-20k	5-10年
1169	康体佳智能科技（深圳）有限公司	生活服务,硬件	不需要融资	['""']	50-150人	宝安区	开发/测试/运维类	本科	研发激励,新平台,机遇难得,全新架构	12k-22k	3-5年
1170	创业软件股份有限公司深圳红荔分公司	医疗健康	不需要融资	['技能培训', '节日礼物', '带薪年假', '绩效奖金']	500-2000人	南山区	开发/测试/运维类	本科	上市公司,大企业,行业先锋	9k-18k	3-5年
1171	深圳知云网络科技有限公司	企业服务	未融资	['专项奖金', '带薪年假', '弹性工作', '扁平管理']	2000人以上	南山区	开发/测试/运维类	大专	集团背景,成长空间大,年终奖金,股票期权	20k-30k	5-10年
1172	广东智达股份有限公司	电子商务,O2O	不需要融资	['节日礼物', '年底双薪', '带薪年假', '绩效奖金']	150-500人	南山区	开发/测试/运维类	本科	年底双薪,扁平化管理,高比例公积,加班少	20k-30k	3-5年
1173	广东爱车小屋实业发展股份有限公司深圳分公司	移动互联网,电子商务	A轮	['股票期权', '绩效奖金', '年终分红', '带薪年假']	500-2000人	南山区	开发/测试/运维类	本科	主流的技术,有发展前景,扁平化管理,公司文化好	10k-16k	3-5年
1174	招银网络科技（深圳）有限公司	金融	不需要融资	['技能培训', '带薪年假', '岗位晋升', '五险一金']	2000人以上	南山区	技术	本科	不断创新的业务模式，持续升级的技术改造	15k-25k	3-5年
1175	深圳市鲸仓科技有限公司	电子商务,其他	B轮	['股票期权', '弹性工作', '扁平管理', '岗位晋升']	50-150人	龙华新区	技术	大专	技能提升,期权激励	15k-30k	3-5年
1176	深圳市小方块科技有限公司	移动互联网,教育	未融资	['""']	50-150人	南山区	开发/测试/运维类	大专	薪酬福利好,发展快,氛围好	10k-15k	3-5年
1177	深圳市数聚能源科技有限公司	数据服务,移动互联网	天使轮	['技能培训', '节日礼物', '年度旅游', '岗位晋升']	50-150人	罗湖区	技术	本科	光速发展、股票期权、不打卡、领导nice!	15k-30k	3-5年
1178	深圳掌众智能科技股份有限公司	移动互联网,广告营销	上市公司	[]	150-500人	南山区	开发/测试/运维类	大专	六险一金,年度体检,节日福利,上市公司	10k-15k	不限
1179	深圳重德科技有限公司	移动互联网,电子商务	未融资	[]	少于15人	南山区	开发/测试/运维类	本科	有未来,有发展,核心团队	10k-18k	1-3年
1180	深圳钱途金服科技有限公司	移动互联网,金融	未融资	['带薪年假', '定期体检', '技能培训', '领导好']	50-150人	福田区	开发/测试/运维类	本科	朝九晚六,双休,薪酬优越	10k-15k	1-3年
1181	深圳前海金瑞龙互联网金融服务有限公司	金融	不需要融资	['岗位晋升', '领导好', '美女多', '五险一金']	2000人以上	福田区	开发/测试/运维类	大专	技术大牛多,团队氛围好,福利待遇佳,工作环境好	12k-18k	3-5年
1182	深圳市异度信息产业有限公司	教育,移动互联网	不需要融资	[]	50-150人	南山区	开发/测试/运维类	本科	美女多又靓,弹性上班,无阶级斗争,加班少哦	16k-25k	3-5年
1183	深圳市掌娱炫动信息技术有限公司	移动互联网,游戏	A轮	[]	50-150人	南山区	开发/测试/运维类	大专	部门氛围好,平台发展好,福利完善,免费体检	8k-10k	1-3年
1184	深圳市博悦科创科技有限公司	移动互联网	不需要融资	['年底双薪', '定期体检', '绩效奖金', '技能培训']	500-2000人	福田区	开发/测试/运维类	本科	五险一金/绩效奖金/定期体检/员工旅游	10k-15k	1-3年
